id,comment,food,drink,price,staff,service,space,hygiene
0,"Mỗi lần nghĩ tới boardgame thì sẽ nghĩ tới vô đây. Được cái là khoái món cơm chiên với cá viên trong đây lắm, vô mà không kêu chơi hông vui. Cho anh đầu bếp ngàn like ạ hì hì",1,0,0,1,1,0,0
1,"Trà sữa Koi phải nói là quá ngon xuất sắc lun ùi .
Hnai mình đặt hàng qua Dilivery vì đang có chương trình KM thanh toán bằng thẻ AirPay sẽ free phí vận chuyển, Vậy là nhanh tay order 3 ly : Matcha Macchiato(M) ; 70k - Trà Sữa Trân Châu Hoàng Kim (M) : 59k - Peach Macchiato (M) : 66k . TC 3 ly là 195k nhé ^^.
Giao hàng nhanh nè : 30' là có 3 ly giao tại nhà lun ( Chắc do nhà mình gần quá :)) .
- Phải nói là ly nào cũng ngon hết : Thích nhất lớp kem của 2 ly Macchiato vs trân châu của ly trà sữa ghê .
- Giá cả : tương đối xứng đáng vs chất lượng ^^!",0,1,1,0,1,0,0
2,"Bạn muốn giết thời gian ? Bạn chán những lúc hẹn hò với bạn bè mà đứa nào cũng lo ôm điện thoại của riêng mình ? Đến đây thì sẽ không bao giờ có tình trạng đó xảy ra !!! Mấy anh nv ở đây rất vui vẻ và tận tình, giá cả thì chấp nhận được !!!",0,0,1,1,0,0,0
3,"Quán nhiều game vô cùng. Nhân viên nhiệt tình nữa. Chơi game nào là giải thích rõ ràng game đó. Chán ko biết vô đâu có chui vô đây là sướng nhất. Nước có, đồ ăn có, lại có board game chơi.
Tuyệt vời",1,1,0,1,1,0,0
4,"Thời gian làm mọi thứ băng qua cuộc đời ngắn ngủi của chúng ta, chỉ có những khoảng khắc giữ chúng ta lại tại một vùng trời gọi là quá khứ. Tại đây tôi được sống trong cảm giác ""ừ, đã từng như thế""... Xin cảm ơn vì nơi đây, yêu các bạn!",0,0,0,0,0,0,0
5,"Quán có cfe mặn đặc biệt . uống cũng ok ,lạ lạ 
Quán nhỏ decor thoáng ,dễ thương . 
Nhưng nhược điểm chắc cũng ở tầm trung thôi, đầu tư nhưng ko đủ dkien kiểu vậy, tại mình thấy cứ lỡ cỡ thiếu thiếu cgi ấy .
Quán ko có điều hoà . Nóng !",0,1,0,0,1,1,0
6,"Sau hơn một năm nhượng lại cho 101 tea n coffee, cuối cùng chago cũng trở lại hehe. Hương vị vẫn như xưa, và có thêm vài món mới nữa. Hôm nay đi chỉ muốn uống trà thiết quan âm đậm đà của chago năm xưa. Nghe nói trà tổ ong cũng ngon lắm, chắc ngày mai ra quất thêm ly cho đỡ thèm. Nhân viên quán cực kỳ dễ thương luôn. Mình mua đem về mà tận tình dễ sợ, còn chủ động dắt xe hộ nữa mặc dù có bảo vệ :))",0,1,0,1,0,0,0
7,"Lần đầu mình uống O'cha. Cảm giác rất vừa miệng, mình đặt trúng đợt giảm giá 30% nên công ty order đến 20 ly. Cả team đặt nhiều loại khác nhau Trà Sữa O'cha, Trà Sữa matcha, Trà sữa Oolong, Đặc biệt Trà Sữa O'cha milk foam cheese được khen nhiều nhất vì lạ miệng với cheese có vị mặn mặn ngọt ngọt béo béo uống ngon lắm. Team mình sẽ ủng hộ dài dài.",0,1,0,0,0,0,0
8,"Nhà mình được được tặng hộp bánh trung thu này. Cái hộp hoành tráng lệ lắm luôn. Bên ngoài là giỏ xách giấy tiếp theo là hộp giấy, mở hộp giấy ra là hộp xốp trắng giữ nhiệt sau đó là hộp thiếc chắc chắn có in chữ nổi. Rồi cuối cùng là 8 em bánh nhỏ xinh với 4 vị trái cây. Trong hộp thiếc thì có đá gel giúp giữ lạnh. Mình chưa ăn thử nhưng nhìn cách đóng gói cầu kì và tỉ mỉ thì đã thấy ngon rồi. Mình nghĩ trung thu biếu hay tặng bánh này là khỏi chê",1,0,0,0,0,0,0
9,"Quán mới mở đc cái view mặt phố lúc nào cũng còi xe inh ỏi. Muốn yên tĩnh thi nên vào phòng máy lạnh ngồi. 
Gía nước tầm 50k trở xuống. Mình dùng ép thơm, vị ổn k chua ko ngọt giá 34k. Wifi ổn, pv bt",0,1,1,1,1,1,0
10,"Tên quán lạ, tên món cũng lạ, ban đầu cả đám bạn đọc menu trà sữa chỉ biết cười thôi, trà sữa oke, khác nhau ở topping và thạch, có combo bánh gấu Brown 55k nữa. Nói chung mọi thứ rất phù hợp cho việc tụ tập bạn bè. Để xe trước cửa quán hơi ít, đông thì phải qua đối diện gửi xe nhưng bù lại được giảm 10% bill nên cũng oke.",1,1,1,0,1,0,0
11,Done 🍰🍰🍹,0,0,0,0,0,0,0
12,"Không nhớ tên món này nhưng với mình khá ngon, không gian quán hơi nhỏ, đi cuối tuần rất ồn, giá cả hợp lý, lần trước đi mình có uống trà vải macchiato khá ngon, nhưng nhân viên lấy xe khá lâu hơn 20 phút.",0,1,0,1,0,1,0
13,"Lâu lắm mới đi đến quán, nay ông anh rũ đi uống nước cùng nên kêu ổng qua quán này
Bước vào quán cực kỳ bất ngờ luôn tất cả từ trên xuống dưới của quán đều thắp nến trông cực kỳ lãng mạn luôn á :)))
Mình gọi 1 ly trà sữa việt quốc nhưng bạn phục vụ nói hết rồi nên mình thay bằng phúc bồn tử và 1 ly đá xây đào, theo mình cảm nhận thì nước uống ngon nha, hợp khẩu vị mình lắm, trà sữa thơm lắm luôn, đá xay cũng vậy mùi đào nên thích lắm luôn ấy",0,1,0,1,0,1,0
14,"Đi chơi với đứa bạn có dịp ghé qua quán này mình với nó nghỉ ngơi tý
Mình và nó gọi 2 ly cà phê đá để uống, theo mình cảm nhận thì đồ uống của quán rất là ok, vị cà phê đăng đắng vừa phải hà nhưng mùi cà phê thơm lắm, kèm theo tý ngọt ngọt của đường cho vào vừa phải nên cực kỳ thích luôn, đang buồn ngủ uống vào cái tỉnh hẵn ra luôn đấy chứ
Quán cũng thoáng và rộng rãi lắm luôn nha
Nhân viên vui vẻ và cực kỳ thân thiện luôn",0,1,0,1,0,1,0
15,Quán mới làm lại tầng 2 quá đẹp. Không gian yên tĩnh rộng rãi rất phù hợp hội họp. Buổi trưa mà ngồi học bài là hết ý.,0,0,0,0,0,1,0
16,"Lâu lâu ghé sang.
Nghe đâu mới update thêm tầng lầu nhưng vẫn chưa có điều hoà nên đành ngồi tầng trệt.
Khi đến thì khách rất là đông và gần như kín bàn.
Gọi 3 món: smoothies việt quất, smoothies đào và tiramisu choco đá xay. Tổng hết bill gần 100k.
Phục vụ đồ uống nhanh.
Tầm 10 phút là có đồ uống rồi.
Nhân viên rất lịch sự, nhanh nhẹn
Đồ uống dừng ở mức tạm.
Jelly trong 2 ly smoothies khá nhạt nhoà, trong khi vị cũng không đặc sắc lắm.
Lớp kem ngọt, kết hợp với phần smoothies phía dưới chắc hợp lý.
Sẽ quay lại nhưng không dùng smoothies nữa.Xem thêm",0,1,1,1,1,1,0
17,"hôm thứ ba , mình chỉ định đi xem phim trên rạp starlight, mua vé xong đi loanh quanh thấy quán trà này, dô mua hai ly, trà nhài và trà nhật bản kem mặn , phải nói là ngon quá, lớp kem nhiều , trà thơm. mình sẽ ủng hộ nữa , với lại mình được đem hai ly trà vào coi phim luôn, rất hay , mấy rạp khác toàn uống pepsi ;))",0,1,0,0,0,0,0
18,"Đây là quán cfe mà mình thích nhất DN ! 👍 
Quán decor rất đẹp, rất thoáng , lại sang trọng .
Nhân viên phục vụ cực kì nhanh mặc dù quán những ngày đầu rất đông . 

Có rất nhiều quán Cafe kiểu này nhưng đây thực sự là quán cfe làm mình ấn tượng nhất . 
Hồ cá thuỷ sinh thiệt to ngay giữa quán rất đẹp, nhìn cái hồ cá là biết quán đẹp rồi 😂

Ghế có nhìu cái bằng xích đu lạ lạ dễ thương . 
Quán để bàn sát nhau tạo cảm giác ấm cúng. 
Mặc dù quán rất đông, ồn ào , nếu là những quán khác thì mình rất gét sự ồn ào của fong kin , nhưng quán này thì mình lại thấy vui vui, nhộn nhịp 😍",0,0,0,1,0,1,0
19,"Quán caphe này lần đầu tiên mình vào, nhân viên dễ thương nhiệt tình thân thiện, đồ uống ngon , nhạc rất hay,",0,1,0,1,1,0,0
20,"View đẹp . Đồ uống bình thường . 
Phục vụ kém , đem sai đồ uống khách kêu còn ra cãi vs khách . Mình dễ tính lắm chị phục vụ chỉ cần kêu thông cảm này nọ thì mình chẳng nói làm gì. Đằng này mình đọc cho chị đó ghi còn chỉ hẳn vào menu thế mà ra cãi còn k đổi đúng đồ uống mình kêu.😑😑😑😑😑😑
Mong quán tuyển người có chọn lọc.",0,1,0,1,0,1,0
21,"Nhân viên ko biết đọc menu ! mình kêu matcha ice blended nhưng đem matcha latte , mình báo nhầm nhưng các bạn ấy không đổi , kêu uống đỡ đi ! vị thức uống khá tệ , ko ai pha matcha latte bằng cách bỏ vô bình lắc lên cả ! sẽ không quay lại ,",0,1,0,1,0,0,0
22,"Quán Cafe nay mới mở nè, đây là quán hiếm hoi có không gian sang trọng một tí và lịch sử thật sự.
Tuy nhiên vẫn chưa thật sự phân loại được đối tượng khách hàng CH lắm
Quán có không gian hai tầng, và có cả không gian ngoài trời nữa. Thực đơn của thật sự đa dạng lắm, nhân viên phục vụ chưa được chuyên nghiệp lắm. Tuy nhiên thức uống vẫn chấp nhận được. Giá dao động từ 30 đến 40, đây không phải là mức giá cao.
Mình thật sự thích không gian của quán, quán mở nhạc cũng hay nữa, có một góc nhỏ để trung bày bán những cái chén nhỏ và những chậu cây nhỏ xinh nữa.
Mấy bạn nhân viên và cả anh quản lý cũng rất dễ thương.
À mà quán mở nhạc to hơn một tí nữa thì chuẩn hơn.
Thấy quán có bán bánh nữa nhưng chưa được ăn, vài bữa nữa phải quay lại ăn thử mới được",1,0,1,1,1,1,0
23,lâu rồi mới ghé lại quán. Trà sữa vẫn ngon chị chủ quán vẫn dễ thương nhiệt tình như ngày nào sẽ tranh thủ ghé quán thường xuyên💓,0,1,0,1,0,0,0
24,"Mình thích những quán cafe có âm nhạc nhẹ nhàng và có thể làm việc được, em mình dẫn mình tới đây mình thấy quán rất ok không gian khá đẹp có 3 tầng và tầng 3 là không có máy lạnh, nước uống ở đây thì chưa hợp khẩu vị của mình lắm, nhân viên thì hơi thưa hầu như chỉ ở tầng 1",0,1,0,1,1,1,0
25,"Được con ẻm dẫn đến đây vào 1 buổi chiều muộn. 
Quán cf này mình đã từng vào rất nhiều lần, thậm chí là trước đây chỉ có hết chỗ khác mới vào haha. Vốn nghĩ chẳng có gì nhiều nhưng lần này mình khá bất ngờ, menu quán có khá nhiều món mới.
Mới nhất phải kể đến là cf Kẹo, với những chiếc kẹo nhiều màu sắc với đồ bên dưới hợp lắm nha.
Ngoài ra trà kem sữa ở đây cũng ngon, mỗi tội ít kem T.T mà mình thì thích nhiều chứ.
Nói chung với giá từ 20-35K thì đồ ở đây khá chất lượng, mình ưng <3",0,1,1,0,0,0,0
26,"Chỗ này bánh mì giá sẽ hơn những chỗ khác một xíu nhưng mang được cảm giác món ăn được làm kỹ, và tạo sự chuyên nghiệp.
Tuy không có giấy và tăm nhưng với mình thì không đòi hỏi những thứ đó, túi bánh mì khá rộng nhìn sạch sẽ đẹp nữa, bánh mì thì có hơi bé, hôm thì bự hơn xíu nhưng nhân bên trong không có gì thay đổi. Gía thành cũng rất sinh viên, một ổ chỉ từ 11k cho vị ốp la, và 12k-13k-15k cho pate, chà bông gà, và thịt nguội.
Chỗ để xe hơi nhỏ.",1,0,1,0,1,1,0
27,"Lâu lâu qua quán này ăn hoài hà vì quán khá là gần nhà mình lại có đồ ăn ngon lắm
Nay mình đi với 2 đứa cùng phòng, gọi 3 tô bún thái và 1 phần xiên que xúc xích, 1 phần xiên que cá viên, 1 phần xiên que bò viên. Theo mình cảm nhận thì bún thái ăn ngon lắm, độ chua chua ít hà, hải sản tươi lắm luôn, có nhiều chả nữa nên ăn thích lắm, đồ chiên xiên que ăn cũng ok lắm nha
Quán này cũng thoáng mát lắm, nhân viên vui vẻ và thân thiện lắm",1,0,0,1,0,1,0
28,"Lại ghé chỗ quen, định sáng sớm ghé đây ăn thiệt ngon, uống cafe sữa rồi đi học mà xa quạ không kịp giờ.
Không gian ngồi nhìn thú vị mà mình toàn mua về thôi.
Thỉnh thoảng cũng hay làm nhầm món nhưng vẫn thông cảm cho.
Làm món trong gian bếp hơi khuất so với mấy tủ bánh mì khác nhưng mà làm kỹ càng nen lâu xíu cũng không thành vấn đề.
Đội ngũ nhân viên giao tiếp được với khách nước ngoài tốt nên vẫn hay thấy du khách ghé đây dùng bánh.
Menu đa dạng nhưng hình như không có chả lụa chả quế.^^",1,1,0,1,0,1,0
29,"Mạng mẽo ở đây cũng tùy bữa lắm nhe, nhưng chung quy chỉ lướt web thì cũng khá ok. Hôm nay mình gọi cafe sữa, uống cũng im lắm vì cafe đậm.
Nhân viên phục vụ mang trà đá ra trước sau đó mới mang thức uống, phục vụ chu đáo nhưng không thấy châm trà lần 2.
Gía vẫn discount 50%, không biết đến bao h mới hết nhưng không gian phù hợp thức uống chất lượng nên khá thích.
Xe để ngoài trước trông coi nhưng nắng quá cũng lo cho xe ghê, tại không thấy vải hay gì để che cho xe của mình cũng xót, mà toàn ghé quán từ 1h trưa đến 3-4h chiều.",0,1,1,1,1,1,0
30,"Hôm nay được hôm rãnh rỗi nên mình rũ ông anh đi cà phê
Mình và ổng gọi 1 ly green tea latte và 1 ly cô ba tea latte, theo mình cảm nhận thì nước uống ngon lắm mùi trà xanh cực kỳ thơm luôn rất đúng chuẩn, lượng đường thì tuỳ mình thích ngọt hay nhiều mà đổ đường vào ấy chứ trang trí cực đẹp, trà sữa cũng thơm và ngon lắm nha vị beo béo thích lắm
Quán rộng rãi và thoáng lắm đi buổi trưa nên quán mình thấy hơi vắng khách
Nhân viên phục vụ thân thiện và vui vẻ lắm",0,1,0,1,0,1,0
31,"Quán nằm trong đường Lê Bình, nếu đi từ hướng 3.2 vào thì chạy đến gần cuối đường nhìn tay phải sẽ gặp được quán. Quán nhìn bên ngoài không rộng nhưng vào trong thì không gian khá là ok. Nhất là nếu đi quán vào buổi trưa thì máy lạnh mở max luôn. Quán có kiểu trang trí mới lạ, đa số được làm từ tre trúc, nhưng cũng không gò bó lắm, không có muỗi nữa. Quán có menu nhiều món cũng khá mới, mình gọi 1 nước ép táo. Theo mình nước ép táo có vị không quá ngọt cũng không chua lắm. Mà vị của táo đúng là được ép từ táo ra chứ không phải là bằng mùi hương. 
Quán có wifi ok, phục vụ ổn vui vẻ. 
Có lần vào quán mình còn được bắt gặp chú cún cưng lắm. Hình như tên của nó là Haru thì phải. Anh chủ cũng nhiệt tình, thân thiện lắm ^^",0,1,0,1,1,1,0
32,"2 chị em đi họp mà em nt là deni liền ha. Bé thích deni yên tĩnh lắm nha. Bàn ghế thấp thấp v nếu có bé nhỏ cũng yên tâm k lo bé té. Hnay lại trưa nên kêu 1 đĩa cơm xào hải sản nè. Cơm chiên tơi mà khổ tánh mình thích cơm mềm hơn nè. Đồ ăn thì hơi mặn xíu nè. Lipton sữa béo béo giá cũng rất rẻ. Nhân viên nhiệt tình, vui vẻ, chu đáo nha. Để xe trong nhà nữa nên an tâm hơn nè. Lần sao họp ce lại quán nữa quá.",1,1,0,1,0,1,0
33,Lâu rồi k ghé quán. Muốn tìm không gian yên ắng để ngồi lại nhớ và đến quán nè. Mình gọi 1 dừa lạnh thêm tắc và dặn nguyên trái nha. Mà đem ra ly nước dừa tắc nè. Nhân viên hơi nhầm xíu mà thôi dễ thương nên cho qua v. Không gian trên lầu dễ cưng dữ lắm luôn nè. Thích ơi là thích luôn nhe. Nằm ngồi đều có chỗ hết á. Mà thích cái võng ngộ ngộ kìa tròn quay à mà êm lắm êm luôn á. Tìm được khu đẹp rồi ghé tiếp lần sau nè,0,1,0,1,0,1,0
34,"Nước ở quán cũng ok giá lại rẻ không gian hơi nhỏ mà cách bày trí cũng được , ở đường nvc quán như vậy là rất ổn nên sẽ ghé lại.",0,1,1,0,0,1,0
35,"Đó giờ không biết chỗ này, mới vừa được bạn chỉ hôm qua nên sáng nay ghé mua ăn thử liền. Tiệm bánh mì ở đây theo dạng take away nên nhỏ gọn cưng lắm. Ưng ý ở chỗ nhìn không gian khá là sạch sẽ. Menu có nhiều món nước với bánh mì. 
Bánh mì ổ thường chỉ có 12k thôi, còn với sandwich hay hamburger thì giá cũng không quá cao. Được cái bao bì bánh mì cũng thiết kế đẹp nữa. Nhìn sang chảnh hơn ^^
Mình nghe nói có ship luôn nhưng mua bánh mì ăn nên mua tại chỗ chứ ship lại sợ không ngon.
Bánh mì thường thì mình thấy pate hơi ngán, chắc tại để nhiều quá hay sao đó. Bánh mì cũng nóng nhưng không giòn.
Nhân viên phục vụ được, vui vẻ nhiệt tình ^^",1,1,1,1,1,1,1
36,"Haru coffee có khoảng không gian sân vườn rất thoáng đãng và mát mẻ. Dù ngoài trời rất nóng nhưng chỉ cần ngồi tại khoảng sân vườn và bật quạt thì cũng rất mát rồi. Ở không gian sân vườn còn có một phòng kính điều hoà. Bạn vừa có thể ngồi ngắm sân vườn vừa có thể tận hưởng gió điều hoà mát lạnh 😜Ngoài khu sân vườn quán còn có các bàn trong nhà nữa nhé.
Các đồ uống của quán thì kiểu quen thuộc như cafe, trà, sinh tố, nước ép, kem.
Ngoài đôg uống thì quán có phục vụ thêm bánh quy, ốc quế, hướng dương,....",1,1,0,0,1,1,0
37,"Thích nhất là matcha và bánh của quán :p ấn tượng ở cả cách phục vụ của Haru nữa, rất tận tâm chuyên nghiệp, đây là quán Cafe mình thích nhất ở Nam Định (y)",1,1,0,1,0,0,0
38,"Ngày hè nóng nực đến Haru Cafe là quên hết sầu lo luôn =))
Đặc biệt trong thời tiết này chỉ muốn gọi 1 ly kem tươi để giải nhiệt.
Hương vị của kem rất tuyệt vời, cảm giác không bị quá ngọt, ăn kèm với 1 ly trà sữa Ahmad nữa thì quá đã luôn :)
Cho quán điểm 10 luôn nhé <3 Nhất định sẽ còn ủng hộ Haru dài dài",1,1,0,0,0,0,0
39,"Tiếp tục họp và team mình ghiền nơi này thì phải. Họp là lại đây à. Ủng hộ a bạn với yên tĩnh luôn nên cứ họp là zest à.
Mình gọi hồng trà nè sủi bọt. Ly chà bá nha. Uống thơm thơm ngọt vừa nha. Bàn ghế sạch sẽ lắm mà mấy bạn nhân viên nên để ý tí nếu đang họp mà đem nước vào thì hỏi nhỏ or nhớ mặt đem lên chứ cứ bị ngắt quãng vì nhân viên hỏi dù bên mình đang có ng phát biểu. Nhưng team mình k ý kiến. Chỉ là mình thấy nên khắc phục v à",0,1,0,1,0,1,1
40,"Trong một lần đi lên Kontum chơi, được giới thiệu quán này đẹp lắm, vô một lần là mê liền. Mình và team mình bèn ghé thử. Ấn tượng đầu tiên là ̉ về hai cô chú chủ quán. Hai cô chú rất dễ thương, nói chuyện rất là hay, à mà chú là người làm nghệ thuật (điêu khắc) nên quán mang hơi hướng tư tưởng và gu nghệ thuật của chú. Nói về vị trí thì ở một vị trí khá dễ tìm, cứ đi đến cuối đường Phan Chu Trinh là sẽ gặp. Không gian quán bày trí rất đẹp, mội góc sẽ có một nét rất riêng ko bị trùng lập. Nào là những bức tượng trông vô cùng sống động, mỗi tượng một màu một vẻ, nhưng theo mình thấy thì tượng ở đây đa số mang màu sắc tươi vui.. trong vườn hoa của chú thì đủ màu đủ loại, kết hợp với những trụ đèn làm từ nhiều vật liệu khá nhau. Còn có những bài thơ rất riêng, giàu cảm xúc. Về các món, thì đa dạng và đặc biệt là giá rất MỀM. Mình đi có chụp bằng camera hành trình nên nhìu bức ko được đẹp lắm hehe!!",0,0,1,1,0,1,0
